,Job_Title,Skills,Description
1,Machine Learning Intern,"Artificial intelligence,Data Analytics, Data Science,Machine Learning,Python,R Programming",Assist in developing and implementing machine learning algorithms. Analyze and interpret complex datasets to identify trends and patterns. Collaborate with team members to design and optimize machine learning models. Test and evaluate algorithm performance. Research latest advancements in machine learning technology and present findings.
2,Machine Learning Intern,"Python, Data Analytics, Data Science, NLP, Deep Learning, Artificial Intelligence, Machine Learning","Develop and implement machine learning algorithms to improve products and services. Conduct data analysis and provide insights for business decisions. Collaborate with teams to integrate machine learning models into existing systems. Research advancements in machine learning and AI. Design, optimize, and fine-tune machine learning models for performance and scalability. Present findings and recommendations to stakeholders."
3,Machine Learning Intern,"Python, Data Analytics, Machine Learning, R Programming, Data Science, NLP, Deep Learning, Artificial Intelligence",Collaborate with the team to develop and implement machine learning models. Conduct research on algorithms and techniques to improve existing models. Analyze and interpret complex datasets to extract insights. Build and test prototypes for machine learning applications. Assist in deployment and maintenance of machine learning solutions. Contribute to product enhancements and stay updated with advancements in machine learning and AI.
4,Data Science Intern,"Data Analysis, Statistics, Sentiment Analysis, Data Visualization, Dashboarding, Performance Analysis, Financial Analytics, Reporting","Analyze trader performance across different market sentiment regimes such as Fear, Greed, and Extreme conditions. Identify traders who consistently adapt to market changes and perform well under different conditions. Discover relationships between sentiment indicators and trading metrics such as PnL, win rate, Sharpe ratio, ROI, and drawdown. Generate ranked trader lists and present insights through reports and dashboards."
5,Data Science Intern,"Machine Learning, Data Science, NLP, Deep Learning, Data Analysis, Data Visualization, Predictive Modeling, Research, Python",Collaborate with the team to analyze and interpret complex datasets. Assist in developing and implementing machine learning algorithms. Apply NLP techniques to extract insights from unstructured data. Work on deep learning projects to improve predictive modeling capabilities. Conduct research on emerging trends in data science and support data visualization and communication of findings to stakeholders.
6,Data Science Intern,"Data Analysis, Predictive Modeling, Data Visualization, Statistics, Research, Reporting, Machine Learning, Python","Assist in collecting, processing, and analyzing data to identify insights and trends. Develop predictive models and algorithms to support business decisions. Collaborate with team members to solve complex data problems. Implement data visualization techniques to communicate findings effectively. Conduct research on emerging data science technologies and methodologies. Prepare reports and presentations for stakeholders and contribute ideas to improve data science capabilities."
7,NLP Intern,"Natural Language Processing, Chatbots, Conversational AI, Tokenization,Text Normalization, Machine Learning, Data Science, Documentation","Assist in improving chatbot and conversational AI responses. Perform text preprocessing tasks such as tokenization, stemming, lemmatization, and text normalization. Collaborate with AI Engineers and Data Scientists on NLP projects. Document experiments, datasets, and model performance to support development and evaluation efforts."
8,Web Development Intern,"PHP, MySQL, HTML, CSS, JavaScript, jQuery, WordPress, Bootstrap, Node.js, Testing, Debugging","Develop and maintain websites using PHP, MySQL, HTML, CSS, and JavaScript. Implement interactive features using jQuery and Bootstrap. Customize WordPress themes and plugins based on client requirements. Build scalable web applications using Node.js. Collaborate with team members on new ideas and solutions. Perform testing and debugging to ensure quality deliverables and stay updated with modern web development technologies."
9,Web Development Intern,"HTML, Web Development, Website Maintenance, Website Testing, Troubleshooting, Performance Optimization, Content Management, UI/UX, Collaboration",Assist in creating and maintaining websites using HTML. Collaborate with the design team to implement new features and enhancements. Conduct website testing and troubleshooting to ensure functionality. Optimize website performance and loading speed. Support content updates and site maintenance. Stay updated with web development trends and contribute ideas to improve the website's design and user experience.
10,Web Development Intern,"PHP, MySQL, HTML, CSS, JavaScript, jQuery, WordPress, Bootstrap, Node.js, React, Debugging, Responsive Design",Collaborate with the development team to design and build innovative web solutions. Write clean and efficient code to improve functionality and user experience. Troubleshoot and debug websites and applications. Customize WordPress themes and plugins based on project requirements. Use Bootstrap for responsive designs and leverage Node.js and React to develop interactive web applications. Stay updated with industry trends and best practices in web development.
11,Cyber Security Intern,"Python, Computer Networking, Linux, Ethical Hacking, VAPT, Web Application Security, Penetration Testing, Vulnerability Assessment, Security Auditing, Incident Response","Conduct vulnerability assessments and penetration testing to identify security risks. Analyze network traffic and system logs to detect and respond to security incidents. Develop and implement security controls to protect systems from cyber threats. Collaborate with teams to integrate security into applications and infrastructure. Assist with secure coding practices, security audits, and compliance assessments while staying updated on cybersecurity trends and best practices."
12,Cyber Security Intern,"Network Security, Security Monitoring, Threat Detection, Vulnerability Assessment, Security Auditing, Incident Response, Cyber Threat Intelligence, Log Analysis, Risk Assessment","Monitor network traffic, security alerts, and system logs to identify potential threats. Support vulnerability assessments and security audits to detect and mitigate security weaknesses. Assist in investigating security incidents and contribute to incident response activities. Research emerging cyber threats, attack techniques, and cybersecurity best practices to improve organizational security."
13,Cyber Security Intern,"Penetration Testing, Security Assessment, Vulnerability Assessment, Network Security, Incident Response, Security Monitoring, Security Policies, Cybersecurity Awareness, Risk Management",Conduct security assessments and penetration testing to identify vulnerabilities in systems. Develop and implement security measures to protect networks and data from cyber threats. Collaborate with IT teams to ensure security best practices are followed. Monitor and analyze security logs to detect and respond to incidents. Assist in developing security policies and procedures while staying updated on cybersecurity trends and technologies. Participate in security awareness and training programs.
14,Software Development Intern,"AI-Assisted Development, ChatGPT, GitHub Copilot, Frontend Development, Backend Development, APIs, Databases, Debugging","Build and enhance product features using AI-assisted coding tools such as ChatGPT and GitHub Copilot. Work across frontend, backend, API, and database layers as needed. Adapt quickly to different technologies based on project requirements. Debug and refine AI-generated code to production quality. Translate business workflows into functional software features. Participate in Scrum meetings and focus on rapid development, execution, and iteration."
15,Software Development Intern,"Android Development, Java, Kotlin, XML, REST APIs, Firebase, UI/UX Design, Backend Integration, Mobile Testing, Debugging","Collaborate with the development team to design, develop, and enhance Android applications. Develop mobile interfaces using Java/Kotlin and XML. Work on backend integration, REST APIs, database connectivity, and server communication. Debug and optimize application performance, integrate third-party services, and participate in testing, deployment, and maintenance activities."
